"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"MarJon Beauchamp","Milwaukee Bucks","Rookie",6.1,98.7,2.3,0.3,0.7,0.3,0.1,0.2,0.4,2,0.4,1,0.4,0.7,2023-11-02
"Jonathan Isaac","Orlando Magic","Vet",5.8,98.6,2.2,0.3,1.1,0.5,0.3,0.3,0.2,2,0.4,0.6,0.7,0.5,2023-11-02
"Orlando Robinson","Miami Heat","Rookie",7.8,98,2.2,0.4,1.4,0.8,0.2,0.2,0.4,1.6,0.6,0.2,0.8,1.9,2023-11-02
"Vince Williams Jr.","Memphis Grizzlies","Rookie",6.1,98.2,2.2,0.4,0.7,0.2,0.1,0.2,0.3,2.1,0.4,1.4,0.6,0.6,2023-11-02
"Omer Yurtseven","Utah Jazz","Vet",5.3,98.2,2.1,0.3,1.1,0.5,0.2,0.1,0.3,1.7,0.4,0.5,0.7,0.8,2023-11-02
"Keon Ellis","Sacramento Kings","Rookie",6.2,98,2.1,0.6,0.5,0.2,0.1,0.3,0.3,1.6,0.5,0.9,0.4,0.7,2023-11-02
"Vasilije Micic","Oklahoma City Thunder",NA,5.8,98.1,2.1,0.6,0.6,0.1,0,0.2,0.3,1.8,0.4,0.9,0.4,0.5,2023-11-02
"Dereon Seabron","New Orleans Pelicans","Rookie",5.5,98.2,2,0.4,0.6,0.3,0.1,0.2,0.3,1.6,0.4,0.5,0.6,0.6,2023-11-02
"Jake LaRavia","Memphis Grizzlies","Rookie",6.6,98.5,2,0.3,0.7,0.3,0.1,0.2,0.3,1.7,0.4,1.1,0.3,1.4,2023-11-02
"Daishen Nix","Minnesota Timberwolves","Sophomore",7.2,98.7,2,0.8,0.7,0.2,0.1,0.3,0.6,1.9,0.4,1,0.5,0.6,2023-11-02
"Malachi Flynn","Toronto Raptors","Vet",5.8,97.5,2,0.6,0.5,0.1,0,0.2,0.3,1.9,0.4,1,0.3,0.6,2023-11-02
"Aaron Holiday","Houston Rockets","Vet",6.1,98.6,1.9,0.8,0.4,0.2,0.1,0.3,0.3,1.7,0.3,0.7,0.3,0.7,2023-11-02
"Alex Len","Sacramento Kings","Vet",6.5,99.1,1.9,0.3,1.3,0.8,0.4,0.1,0.4,1.3,0.6,0.1,0.9,1.2,2023-11-02
"Daniel Theis","Indiana Pacers","Vet",5.8,98.3,1.9,0.3,1,0.4,0.2,0.1,0.3,1.9,0.5,0.5,0.7,0.8,2023-11-02
"Furkan Korkmaz","Philadelphia 76ers","Vet",5.3,98.4,1.9,0.3,0.6,0.1,0.1,0.2,0.3,1.6,0.4,0.6,0.4,0.4,2023-11-02
"Danuel House Jr.","Philadelphia 76ers","Vet",5.5,98.3,1.9,0.3,0.6,0.1,0.1,0.1,0.2,1.6,0.5,0.8,0.5,0.5,2023-11-02
"Olivier Sarr","Oklahoma City Thunder","Sophomore",5.5,98,1.9,0.2,0.9,0.5,0.2,0.1,0.3,1.4,0.5,0.3,0.7,0.8,2023-11-02
"Stanley Umude","Detroit Pistons","Rookie",5.1,96.5,1.8,0.4,0.6,0.2,0.1,0.2,0.3,1.5,0.4,0.7,0.5,0.6,2023-11-02
"Sasha Vezenkov","Sacramento Kings",NA,5.3,97.9,1.8,0.3,0.8,0.4,0.1,0.2,0.3,1.5,0.5,0.6,0.5,0.6,2023-11-02
"Nikola Jovic","Miami Heat","Rookie",4.7,98.4,1.8,0.2,0.7,0.3,0.1,0.1,0.3,1.5,0.5,0.7,0.5,0.5,2023-11-02
"Max Christie","Los Angeles Lakers","Rookie",6.3,98.2,1.8,0.3,0.8,0.1,0.1,0.2,0.3,1.6,0.4,0.6,0.4,0.5,2023-11-02
"Johnny Davis","Washington Wizards","Rookie",4.4,99.4,1.8,0.3,0.5,0.1,0.1,0.1,0.2,1.7,0.3,0.7,0.4,0.5,2023-11-02
"Jordan McLaughlin","Minnesota Timberwolves","Vet",7.8,100.2,1.7,1.5,0.6,0.2,0.1,0.4,0.4,1.6,0.3,0.9,0.3,0.6,2023-11-02
"Haywood Highsmith","Miami Heat","Vet",6.1,97.4,1.7,0.3,0.8,0.4,0.1,0.2,0.3,1.4,0.3,0.6,0.5,0.7,2023-11-02
"Damian Jones","Cleveland Cavaliers","Vet",5.7,99.6,1.7,0.2,0.9,0.5,0.3,0.1,0.3,1,0.4,0.3,0.6,0.8,2023-11-02
"Yuta Watanabe","Phoenix Suns","Vet",5.6,98.3,1.7,0.3,0.7,0.2,0.1,0.2,0.2,1.4,0.3,0.9,0.3,0.6,2023-11-02
"Evan Fournier","New York Knicks","Vet",4.5,98.2,1.7,0.3,0.4,0.1,0,0.2,0.2,1.5,0.2,1.1,0.1,0.5,2023-11-02
"Kaiser Gates","New Orleans Pelicans",NA,5.1,97.7,1.7,0.3,0.7,0.3,0.1,0.2,0.3,1.4,0.4,0.6,0.5,0.6,2023-11-02
"Thaddeus Young","Toronto Raptors","Vet",5.3,97.2,1.7,0.4,0.7,0.5,0.1,0.3,0.3,1.2,0.2,0.2,0.5,0.7,2023-11-02
"Julian Champagnie","San Antonio Spurs","Rookie",3.8,99.5,1.7,0.1,0.6,0.1,0.1,0.1,0.2,1.4,0.2,0.9,0.3,0.3,2023-11-02
"Robin Lopez","Milwaukee Bucks","Vet",5.3,98.1,1.7,0.3,0.6,0.4,0.2,0.1,0.4,1.4,0.4,0.2,0.4,0.8,2023-11-02
"Luke Kornet","Boston Celtics","Vet",5.3,97.6,1.6,0.3,0.8,0.5,0.3,0.1,0.2,1.2,0.3,0.1,0.7,0.6,2023-11-02
"Mo Bamba","Philadelphia 76ers","Vet",4.4,97.2,1.6,0.2,1,0.4,0.3,0.1,0.2,1.3,0.3,0.7,0.4,0.6,2023-11-02
"Tristan Thompson","Cleveland Cavaliers","Vet",5.5,97.7,1.6,0.3,1,0.7,0.1,0.1,0.3,1.5,0.6,0.1,0.7,0.7,2023-11-02
"Amir Coffey","Los Angeles Clippers","Vet",5.3,97.5,1.6,0.4,0.4,0.1,0.1,0.1,0.2,1.3,0.5,0.4,0.3,0.5,2023-11-02
"Thanasis Antetokounmpo","Milwaukee Bucks","Vet",5.4,98.3,1.6,0.3,0.7,0.4,0.1,0.2,0.4,1.2,0.5,0.2,0.8,0.8,2023-11-02
"Justin Holiday","Denver Nuggets","Vet",6.4,99.5,1.6,0.3,0.5,0.1,0.1,0.2,0.2,1.7,0.2,1.1,0.3,0.7,2023-11-02
"Jamal Cain","Miami Heat","Rookie",4,99,1.5,0.2,0.5,0.2,0.1,0.1,0.2,1.1,0.3,0.5,0.4,0.4,2023-11-02
"Peyton Watson","Denver Nuggets","Rookie",3.8,97.8,1.5,0.2,0.6,0.2,0.2,0.1,0.2,1.2,0.4,0.3,0.5,0.4,2023-11-02
"Markquis Nowell","Toronto Raptors",NA,4,98,1.5,0.8,0.3,0,0,0.2,0.3,1.4,0.2,0.8,0.2,0.3,2023-11-02
"Collin Gillespie","Denver Nuggets",NA,4.3,98.5,1.5,0.5,0.3,0.1,0,0.2,0.3,1.3,0.3,0.6,0.4,0.4,2023-11-02
"Usman Garuba","Golden State Warriors","Sophomore",6,98.6,1.4,0.3,1.1,0.6,0.2,0.2,0.3,1.2,0.3,0.5,0.5,1,2023-11-02
"Dalano Banton","Boston Celtics","Sophomore",3.3,98,1.4,0.4,0.5,0.2,0.1,0.1,0.2,1.2,0.3,0.5,0.4,0.4,2023-11-02
"Kevon Harris","Orlando Magic","Rookie",3.9,99,1.3,0.2,0.4,0.2,0.1,0.1,0.2,1,0.3,0.5,0.3,0.9,2023-11-02
"Sam Merrill","Cleveland Cavaliers","Vet",3.4,97.9,1.3,0.3,0.4,0.1,0,0.1,0.2,1.2,0.2,0.8,0.2,0.3,2023-11-02
"Dominick Barlow","San Antonio Spurs","Rookie",4.8,100.5,1.3,0.2,0.7,0.5,0.2,0.1,0.2,0.9,0.4,0,0.7,0.7,2023-11-02
"Jalen Slawson","Sacramento Kings",NA,3.8,98.1,1.3,0.3,0.5,0.2,0.1,0.1,0.2,1.1,0.3,0.5,0.3,0.4,2023-11-02
"Markieff Morris","Dallas Mavericks","Vet",3.6,100.8,1.3,0.2,0.5,0.1,0.1,0.1,0.2,1.2,0.1,0.8,0.1,0.8,2023-11-02
"Dean Wade","Cleveland Cavaliers","Vet",5.6,97.5,1.2,0.2,0.8,0.2,0.1,0.2,0.1,1.2,0.2,0.7,0.2,0.6,2023-11-02
"Anthony Gill","Washington Wizards","Vet",4.2,98.3,1.2,0.2,0.5,0.3,0.1,0.1,0.2,0.9,0.5,0.2,0.4,0.5,2023-11-02
"Jerome Robinson","Golden State Warriors","Vet",4,97.7,1.2,0.3,0.4,0.1,0.1,0.1,0.2,1.1,0.3,0.5,0.1,0.4,2023-11-02
"Marcus Sasser","Detroit Pistons",NA,3.5,97.7,1.2,0.5,0.3,0.1,0,0.1,0.2,1.1,0.2,0.6,0.2,0.3,2023-11-02
"Trent Forrest","Atlanta Hawks","Vet",5,98.4,1.2,0.7,0.5,0.2,0.1,0.2,0.3,1.1,0.3,0.1,0.4,0.4,2023-11-02
"DeAndre Jordan","Denver Nuggets","Vet",4.4,97.9,1.2,0.2,1.1,0.4,0.2,0.1,0.3,0.9,0.3,0,0.6,0.7,2023-11-02
"Miles McBride","New York Knicks","Sophomore",3.8,98.3,1.1,0.3,0.3,0.1,0,0.2,0.2,1.1,0.2,0.6,0.2,0.4,2023-11-02
"Ron Harper Jr.","Toronto Raptors","Rookie",3.2,98.4,1.1,0.2,0.4,0.2,0.1,0.1,0.2,0.9,0.2,0.5,0.3,0.3,2023-11-02
"Kris Murray","Portland Trail Blazers",NA,3.5,97.8,1.1,0.2,0.5,0.2,0.1,0.1,0.2,1,0.3,0.4,0.3,0.4,2023-11-02
"Cole Swider","Miami Heat","Rookie",3.4,98.3,1.1,0.2,0.5,0.2,0.1,0.1,0.2,0.9,0.3,0.4,0.3,0.4,2023-11-02
"Toumani Camara","Portland Trail Blazers",NA,3.5,98,1.1,0.2,0.5,0.2,0.1,0.1,0.2,1,0.3,0.4,0.3,0.4,2023-11-02
"Moussa Diabate","Los Angeles Clippers","Rookie",3.1,98.2,1,0.1,0.4,0.3,0.1,0.1,0.2,0.8,0.3,0.1,0.4,0.4,2023-11-02
"Patrick Baldwin Jr.","Washington Wizards","Rookie",2.6,98.9,1,0.1,0.4,0.1,0.1,0.1,0.2,0.9,0.2,0.7,0.2,0.2,2023-11-02
"Javon Freeman-Liberty","Toronto Raptors",NA,2.8,97.9,1,0.3,0.3,0.1,0,0.1,0.2,0.8,0.2,0.4,0.2,0.3,2023-11-02
"Leaky Black","Charlotte Hornets",NA,3.1,98,1,0.1,0.4,0.2,0.1,0.1,0.2,0.8,0.3,0.3,0.3,0.4,2023-11-02
"Garrett Temple","Toronto Raptors","Vet",4.5,98.3,1,0.3,0.4,0.1,0.1,0.2,0.2,1,0.1,0.7,0.2,0.5,2023-11-02
"Danny Green","Philadelphia 76ers","Vet",3.2,98.2,0.9,0.2,0.3,0.1,0.1,0.1,0.2,0.9,0.1,0.7,0.1,0.4,2023-11-02
"Josh Minott","Minnesota Timberwolves","Rookie",2.4,99.6,0.9,0.1,0.4,0.1,0.1,0.1,0.1,0.7,0.2,0.2,0.4,0.3,2023-11-02
"Ryan Rollins","Washington Wizards","Rookie",2.7,98.5,0.9,0.2,0.3,0.1,0,0.1,0.2,0.8,0.2,0.3,0.3,0.3,2023-11-02
"Caleb Houstan","Orlando Magic","Rookie",3.2,99.6,0.8,0.1,0.3,0.1,0,0.1,0.1,0.8,0.1,0.6,0.2,0.3,2023-11-02
"Colby Jones","Sacramento Kings",NA,2.3,98.2,0.8,0.2,0.2,0.1,0,0.1,0.1,0.7,0.2,0.3,0.2,0.3,2023-11-02
"Scoot Henderson","Portland Trail Blazers",NA,2.4,98,0.8,0.3,0.2,0,0,0.1,0.2,0.8,0.2,0.4,0.2,0.2,2023-11-02
"Jay Huff","Denver Nuggets","Sophomore",1.9,99.1,0.7,0.1,0.3,0.1,0.1,0.1,0.1,0.4,0.2,0.2,0.2,0.3,2023-11-02
"Dru Smith","Miami Heat","Rookie",2.3,98.1,0.7,0.3,0.2,0.1,0,0.1,0.1,0.6,0.1,0.3,0.2,0.3,2023-11-02
"Jordan Hawkins","New Orleans Pelicans",NA,2.2,97.9,0.7,0.2,0.2,0.1,0,0.1,0.1,0.7,0.2,0.3,0.2,0.2,2023-11-02
"Rayan Rupert","Portland Trail Blazers",NA,1.9,98.1,0.7,0.1,0.2,0.1,0,0.1,0.1,0.6,0.2,0.2,0.2,0.2,2023-11-02
"Maxwell Lewis","Los Angeles Lakers",NA,2.2,98.1,0.7,0.1,0.3,0.1,0,0.1,0.1,0.6,0.2,0.3,0.2,0.3,2023-11-02
"Trevelin Queen","Orlando Magic","Sophomore",1.8,97.3,0.6,0.1,0.3,0.1,0.1,0.1,0.1,0.5,0.1,0.3,0.2,0.2,2023-11-02
"Jermaine Samuels Jr.","Houston Rockets",NA,1.7,97.8,0.6,0.1,0.2,0.1,0,0.1,0.1,0.5,0.1,0.2,0.1,0.2,2023-11-02
"Malcolm Cazalon","Detroit Pistons",NA,1.8,97.8,0.6,0.1,0.2,0.1,0,0.1,0.1,0.5,0.1,0.2,0.2,0.2,2023-11-02
"Ryan Arcidiacono","New York Knicks","Vet",2.7,98,0.6,0.3,0.2,0,0,0.1,0.1,0.6,0.1,0.3,0,0.3,2023-11-02
"Sir'Jabari Rice","San Antonio Spurs",NA,1.8,97.7,0.6,0.2,0.2,0,0,0.1,0.1,0.5,0.1,0.3,0.1,0.2,2023-11-02
"Brandon Miller","Charlotte Hornets",NA,1.8,98,0.6,0.1,0.3,0.1,0.1,0.1,0.1,0.5,0.2,0.2,0.2,0.2,2023-11-02
"Jalen Pickett","Denver Nuggets",NA,1.8,98,0.6,0.2,0.2,0,0,0.1,0.1,0.6,0.1,0.3,0.1,0.2,2023-11-02
