PLAYER,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$
"Bismack Biyombo
PhxC",226,,15.4,0.583,0.425,4.8,0,4.5,0.9,0.3,1.2,0.9,2.1,3.6,0.6,1.4,
"Isaiah Jackson
IndPF",227,,16.4,0.562,0.656,7.5,0.1,4.4,0.7,0.5,1.5,0.9,2.9,5.2,1.6,2.4,
"Santi Aldama
MemPF",228,,20.3,0.464,0.738,8.3,1.1,4.5,1.2,0.5,0.6,0.7,3,6.4,1.3,1.7,
"Trendon Watford
PorPF",229,,18.9,0.554,0.73,7.5,0.4,3.9,2,0.5,0.3,1.1,2.9,5.3,1.2,1.7,
"Monte Morris
DetPG",230,,20.7,0.481,0.838,8.2,1,2.3,3.5,0.5,0.2,0.7,3.2,6.7,0.8,0.9,
"Pat Connaughton
MilSG",231,,24.3,0.421,0.74,8.2,1.9,4.5,1.2,0.7,0.2,0.5,2.9,6.9,0.5,0.7,
"Torrey Craig
ChiSF",232,,22.5,0.458,0.727,7,1.1,4.8,1.3,0.6,0.7,0.9,2.7,5.9,0.4,0.6,
"Ayo Dosunmu
ChiSG",233,,26.6,0.501,0.772,8.7,0.8,2.8,2.8,0.8,0.3,1.3,3.6,7.1,0.8,1,
"Xavier Tillman
MemPF",234,,17.5,0.568,0.582,6.4,0.2,4.4,1.4,0.9,0.4,0.7,2.7,4.8,0.8,1.3,
"Davion Mitchell
SacPG",235,,20.9,0.435,0.717,7.3,1,1.6,2.9,0.6,0.2,1,3,6.8,0.4,0.6,
"Darius Bazley
BknSF",236,,17.4,0.439,0.587,6.5,0.6,3.9,1,0.6,0.8,0.8,2.4,5.5,1.1,1.8,
"Patty Mills
AtlPG",237,,12.7,0.412,0.829,5.4,1.1,0.9,1.2,0.3,0.1,0.6,1.9,4.6,0.5,0.6,
"Justin Holiday
DenSG",238,,18.7,0.393,0.778,6.3,1.5,1.8,1.1,0.5,0.4,0.6,2.2,5.7,0.4,0.5,
"Terance Mann
LACSF",239,,24.3,0.52,0.776,9.2,1,3.6,2.4,0.5,0.3,1,3.5,6.8,1.2,1.5,
"Rui Hachimura
LALPF",240,,27.2,0.486,0.737,13.1,1,5.2,1.1,0.4,0.4,1,5.3,10.8,1.6,2.2,
"Otto Porter Jr.DTD
TorSF",241,,21.5,0.462,0.851,8,1.2,5.2,1.5,1.1,0.3,0.6,3,6.4,0.9,1.1,
"Davis Bertans
OKCPF",242,,14.6,0.399,0.875,6,1.6,1.8,0.6,0.3,0.2,0.3,1.9,4.8,0.6,0.7,
"Precious Achiuwa
TorPF",243,,21.5,0.47,0.669,9.1,0.6,6.1,1,0.5,0.5,1.1,3.5,7.5,1.4,2.1,
"Omer Yurtseven
UtahC",244,,12,0.538,0.657,5.1,0.1,4.7,0.7,0.3,0.3,0.7,2.2,4.1,0.7,1,
"Isaiah Hartenstein
NYC",245,,18.6,0.567,0.674,5.9,0.1,5.8,1.6,0.6,0.9,0.9,2.5,4.4,0.8,1.2,
"Nicolas Batum
LACSF",246,,24.2,0.441,0.712,7.2,1.7,4.2,1.7,0.8,0.6,0.7,2.5,5.7,0.5,0.7,
"Aaron Nesmith
IndSF",247,,19.1,0.422,0.833,7.6,1.2,2.9,1,0.6,0.3,0.8,2.6,6.2,1.2,1.4,
"Robert Covington
LACPF",248,,22,0.425,0.79,7.1,1.5,4.6,1.3,1.1,0.9,0.8,2.5,5.8,0.7,0.9,
"Quentin Grimes
NYSG",249,,27.5,0.458,0.787,10.3,2.1,3,1.9,0.7,0.3,0.9,3.6,7.9,0.9,1.2,
"Jeremy Lamb
SacSG",250,,13.7,0.4,0.873,6.1,0.8,2.3,1.1,0.5,0.3,0.5,2,5,1.3,1.5,
"Gabe Vincent
LALPG",251,,23.7,0.405,0.851,8.7,1.6,1.9,2.5,0.9,0.1,1.3,3.1,7.7,0.9,1,
"Kemba Walker
DalPG",252,,25.3,0.364,0.667,12,2,3,4,1,0,1,4,11,2,3,
"Derrick Favors
AtlC",253,,16.3,0.546,0.694,5.3,0,5,0.6,0.4,0.5,0.3,2.4,4.3,0.6,0.8,
"Hamidou DialloDTD
DetSG",254,,19.8,0.529,0.613,10,0.2,4.1,1.2,1,0.3,1.2,4.1,7.7,1.7,2.7,
"Moses Moody
GSSG",255,,20,0.465,0.714,7.5,1.2,2.6,1.1,0.4,0.2,0.7,2.7,5.7,0.9,1.3,
"Isaac Okoro
CleSF",256,,25.4,0.476,0.752,7.6,0.8,2.7,1.4,0.8,0.4,0.7,2.7,5.7,1.4,1.8,
"TyTy Washington Jr.
OKCPG",257,,14,0.362,0.56,4.7,0.6,1.5,1.5,0.5,0.1,0.5,1.9,5.2,0.3,0.6,
"Richaun Holmes
DalC",258,,19.4,0.643,0.791,8.6,0.1,5.3,0.9,0.3,0.8,0.9,3.6,5.6,1.3,1.6,
"Gradey Dick
TorSG",259,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jordan Hawkins
NOSG",260,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Kevin Porter Jr.DTD
HouSG",261,,26,0.433,0.744,13.9,1.9,3.8,4.6,1,0.2,2.5,4.8,11.2,2.3,3.1,
"Cam Reddish
LALSF",262,,23.6,0.421,0.863,10,1.2,2.4,1.3,1,0.3,1.2,3.5,8.2,1.8,2.1,
"Devonte' Graham
SAPG",263,,23,0.371,0.799,9.7,2.1,2,3.5,0.7,0.2,1,3,8.2,1.5,1.9,
"Tristan Thompson
ClePF",264,,15.6,0.525,0.533,6,0,5,0.6,0.4,0.4,0.8,2.5,4.7,1.1,2,
"Reggie Bullock
SASF",265,,31.6,0.417,0.862,10.3,2.5,3.9,1.5,0.7,0.2,0.7,3.6,8.6,0.7,0.8,
